cntry.code,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
NGA,,,,,,,,,,,,,,,,151,,,,,405,,325,811,1629,3811,4637,2491,1879,1173,1326,1997
NIC,526,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,,,,,,,,44,40,250,156,268,429,3946,1341,1880,1104,457,,,,,,,,,,,,,,
NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,,73,27,,0,74,69,47,45,52,32,59,36,148,175,359,110,419,747,3537,6864,6052,2863,3018,1817,3142,2126,796,695,228,267,373
PAN,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,1827,1099,1138,1036,672,253,266,80,93,25,75,,,,,,,,32,40,50,28,,,,,,,,,,5
PHL,937,1306,1515,430,253,265,152,180,302,93,199,1567,749,662,1056,339,470,360,439,481,894,332,350,295,514,470,572,550,1620,420,309,348
PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,,55,,33,34,26,29,78,,,,,,,,,,,,,,,,,,,,,,,,
POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38144,,37342,29916
PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRY,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
ROU,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,,192,220,,145,229,1754,2721,,,5854,2907,791,1289,480,1151,682,259,176,404,696,418,356,516,321,174,84,69,53,30,26,32
RWA,,1126,153,87,353,1208,,90,535,1095,,,2044,,,,,,,,,,,13,1,,,,,9,19,
SAS,6735,7544,12939,11445,7649,10846,11159,7969,10315,11201,8740,11016,7823,6852,3747,4328,4341,9026,11233,18427,24485,13944,10705,11155,10278,15899,19903,19451,20421,26728,30801,21432
SAU,,,101,,,,,,,,,,,,,58,31,11,2,,,,,,,,78,120,4,11,2,0
SDN,4515,5030,1313,1083,942,337,1036,2289,3859,4891,1408,2841,3457,2312,2008,3673,246,1030,217,620,373,1054,1404,1411,594,849,1264,1309,160,243,,45
SEN,,58,,76,233,,299,,319,242,,47,33,,39,,,,,,,,25,,,,,,,,,
SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLE,,,552,218,410,628,1472,570,748,3287,3153,382,50,,,,,,,,,,,,,,,,,,,
SLV,4924,849,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,373,2650,8005,1154,25,237,104,440,,,25,,228,114,,0,,547,1575,1521,1477,2150,1937,2624,913,1111,1197,1925,1918,2208,1945,1942
SRB,,,3022,190,,,,,,1235,1398,,0,,,,,,,,,,,,,,,,,,,
SSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9928
SSD,,,,,,,,,,,,,,,,,,,,,,,220,266,926,1674,493,735,484,526,110,58
SSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9928
SST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,,,,,,,,,,,,,,,,1,,,,,,,1143,50555,71351,64657,50666,42345,21456,13365,7548,4862
TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,50,652,68,899,120,156,,,97,34,394,989,226,294,37,50,100,1250,69,991,135,4,,,,,275,,57,150,144,196
TEA,,,,,,,,,,,,,,,,,,,,711,1222,,,,,,1263,,,,,
TEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,201,19,,,,,,,,3,,8,22,23,26,164,208,212,197,148,138,82,162,131,189,68,57,50,43,36,55,48
TJK,,,,3355,1045,356,368,2790,87,600,3,46,,,,,,,,,,98,28,,,,,,,,,
TKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMN,,,,,1319,,,1865,3608,,,,,,,,,,,,,,,,,,,57108,35455,19944,12100,9307
TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSA,6735,7544,12939,11445,7649,10846,11159,7969,10315,11201,8740,11016,7823,6852,3747,4328,4341,9026,11233,18427,24485,13944,10705,11155,10278,15899,19903,19451,20421,26728,30801,21432
TSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9928
TTO,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,
TUR,227,245,344,1563,2117,3865,3035,3283,2273,1920,1129,121,101,25,90,183,359,210,453,429,126,198,421,743,19,,902,1378,398,439,270,190
TUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
UGA,1022,626,857,72,,149,259,1155,738,748,341,364,108,722,633,1215,610,198,91,,,,,,,,,,0,,,
UKR,,,,,,,,,,,,,,,,,,,,,,,,,,4378,1314,252,409,243,234,195
UMC,,,,,,,,,,,,,,,,,,,,4152,2432,,,,,,11730,,,,,
URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,
UZB,,,,,,,,,,,50,297,,,,37,,,,,,,,,,,,,,,,
VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,,,,144,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,,,,,,1489,,,,,,,,,,,,,,21,94,175,1140,2330,582,1660,6716,2846,2733,4505,1703,2363
ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
